i,j,k,a,b,c,val
1,4,4,3,2,2,0.9999999999999994 + 0.0im
1,4,4,3,2,3,0.48586827175664427 + 0.0im
1,4,4,3,3,1,0.9999999999999994 + 0.0im
1,4,4,3,3,3,0.485868271756646 + 0.0im
1,4,4,3,4,1,0.7861513777574238 + 0.0im
1,4,4,3,4,3,0.9999999999999994 + 0.0im
1,4,4,3,5,1,0.6180339887498941 - 1.5843448587791645e-16im
1,4,4,3,5,3,-0.4858682717566454 + 1.6669060909400964e-17im
1,4,4,3,6,1,0.6180339887498941 + 1.5843448587791645e-16im
1,4,4,3,6,3,-0.4858682717566454 - 1.6669060909400964e-17im
1,4,4,3,7,1,0.4858682717566443 + 0.0im
1,4,4,3,7,2,1.2720196495140683 + 0.0im
1,4,4,3,7,3,0.23606797749978947 + 0.0im
2,1,1,1,1,1,0.9999999999999999 + 2.4651903288156597e-32im
2,1,1,1,2,1,-0.6180339887498938 + 1.3723111286221149e-16im
2,1,2,1,1,1,-0.7861513777574224 - 2.6971107111952897e-17im
2,1,2,1,1,2,-0.7861513777574233 + 2.6971107111953005e-17im
2,1,2,1,1,3,0.3819660112501043 + 1.7450832615830558e-32im
2,1,3,1,1,1,0.7861513777574238 - 5.3942214223906053e-17im
2,1,3,1,1,2,0.7861513777574238 + 0.0im
2,1,3,1,1,3,0.38196601125010404 - 1.6962698412563896e-16im
2,1,4,1,1,2,0.6180339887498952 + 0.0im
2,1,4,1,1,3,-0.6180339887498948 + 2.1203373015704894e-17im
2,1,4,1,1,4,-0.4858682717566448 + 1.0788442844781201e-16im
2,1,4,1,2,1,0.6180339887498952 + 0.0im
2,1,4,1,2,4,0.7861513777574228 + 0.0im
2,1,4,1,3,1,-0.48586827175664565 + 1.0788442844781208e-16im
2,1,4,1,3,2,-0.48586827175664565 - 1.0788442844781203e-16im
2,1,4,1,3,3,0.4858682717566451 - 1.2455348935721305e-16im
2,1,4,1,3,4,-0.2360679774997889 + 5.241762079939183e-17im
2,2,1,1,1,1,0.9999999999999999 + 7.39557098644698e-32im
2,2,1,2,1,1,0.9999999999999994 + 0.0im
2,2,1,3,1,1,-0.4858682717566454 + 1.9909979598622284e-16im
2,2,2,1,1,1,1.0 - 1.23259516440783e-32im
2,2,2,1,2,2,0.9999999999999999 + 2.46519032881566e-32im
2,2,2,1,3,3,0.9999999999999999 + 4.9303806576313194e-32im
2,2,2,2,1,2,0.9999999999999999 - 2.46519032881566e-32im
2,2,2,2,2,1,0.6180339887498948 + 4.240674603140977e-17im
2,2,2,2,2,3,-0.7861513777574233 - 2.6971107111952987e-17im
2,2,2,2,3,1,-0.786151377757424 - 2.697110711195301e-17im
2,2,2,2,3,3,-0.6180339887498938 - 1.3723111286221149e-16im
2,2,2,3,1,3,0.9999999999999999 + 2.4651903288156597e-32im
2,2,2,3,2,1,-0.786151377757424 - 8.091332133585913e-17im
2,2,2,3,2,3,-0.6180339887498938 + 9.482436683080176e-17im
2,2,2,3,3,1,-0.6180339887498948 + 9.48243668308018e-17im
2,2,2,3,3,2,0.9999999999999994 + 0.0im
2,2,2,3,3,3,0.3002831060007767 - 5.637419743505184e-17im
2,2,3,1,1,1,1.0 - 1.2325951644078301e-32im
2,2,3,1,2,2,1.0 - 4.9303806576313205e-32im
2,2,3,1,3,3,0.9999999999999999 + 9.86076131526264e-32im
2,2,3,2,1,2,0.6180339887498952 + 0.0im
2,2,3,2,1,3,0.7861513777574228 + 0.0im
2,2,3,2,2,1,1.0000000000000002 - 6.861555643110579e-17im
2,2,3,2,3,2,0.7861513777574238 + 0.0im
2,2,3,2,3,3,-0.6180339887498938 + 1.3723111286221149e-16im
2,2,3,3,1,2,-0.7861513777574233 - 2.6971107111953008e-17im
2,2,3,3,1,3,0.6180339887498938 - 1.160277398465071e-16im
2,2,3,3,2,3,-0.9999999999999996 + 3.430777821555285e-17im
2,2,3,3,3,1,-1.0 + 3.430777821555289e-17im
2,2,3,3,3,2,0.6180339887498941 - 1.160277398465067e-16im
2,2,3,3,3,3,0.30028310600077707 - 1.8972668471025934e-16im
2,2,4,1,1,1,1.0 + 7.39557098644698e-32im
2,2,4,1,2,2,1.0 - 7.39557098644698e-32im
2,2,4,1,3,3,0.9999999999999999 + 4.93038065763132e-32im
2,2,4,1,4,4,0.9999999999999999 + 7.39557098644698e-32im
2,2,4,2,1,2,0.6180339887498952 + 0.0im
2,2,4,2,1,4,0.7861513777574228 + 0.0im
2,2,4,2,2,3,-0.9999999999999996 + 3.430777821555293e-17im
2,2,4,2,3,1,-0.6180339887498955 - 2.1203373015704928e-17im
2,2,4,2,3,2,-0.6180339887498955 - 2.1203373015704897e-17im
2,2,4,2,3,4,0.4858682717566451 - 9.121536753841114e-17im
2,2,4,2,4,1,0.7861513777574238 + 0.0im
2,2,4,2,4,2,-0.48586827175664565 - 1.0788442844781203e-16im
2,2,4,2,4,4,0.38196601125010404 + 0.0im
2,2,4,3,1,2,0.4858682717566451 - 9.121536753841112e-17im
2,2,4,3,1,3,0.7861513777574228 + 0.0im
2,2,4,3,1,4,-0.3819660112501049 + 1.5652257892579095e-16im
2,2,4,3,2,1,-0.7861513777574233 + 2.6971107111953008e-17im
2,2,4,3,2,4,0.6180339887498938 + 1.160277398465071e-16im
2,2,4,3,3,1,-0.48586827175664565 + 7.454630662901008e-17im
2,2,4,3,3,2,0.7861513777574238 + 5.3942214223906053e-17im
2,2,4,3,3,4,0.38196601125010404 - 1.4341817372594303e-16im
2,2,4,3,4,1,-0.38196601125010454 + 1.5652257892579152e-16im
2,2,4,3,4,2,-0.38196601125010454 - 1.3104405199847979e-17im
2,2,4,3,4,3,-0.6180339887498938 + 1.3723111286221149e-16im
2,2,4,3,4,4,-0.18558516575586723 + 7.604935491356716e-17im
2,3,1,1,1,1,-0.9999999999999997 + 3.43077782155529e-17im
2,3,1,2,1,1,-0.9999999999999997 + 3.430777821555284e-17im
2,3,1,3,1,1,-0.4858682717566443 + 1.6669060909400566e-17im
2,3,2,1,1,1,1.0000000000000002 - 6.861555643110573e-17im
2,3,2,1,2,2,0.9999999999999999 + 1.23259516440783e-32im
2,3,2,1,3,3,-0.9999999999999997 + 3.43077782155529e-17im
2,3,2,2,1,2,0.6180339887498949 - 4.240674603140989e-17im
2,3,2,2,1,3,-0.7861513777574229 + 2.6971107111952987e-17im
2,3,2,2,2,1,1.0000000000000002 + 6.861555643110577e-17im
2,3,2,2,3,2,0.7861513777574235 - 5.394221422390601e-17im
2,3,2,2,3,3,0.618033988749894 + 1.1602773984650667e-16im
2,3,2,3,1,2,0.7861513777574234 - 5.394221422390607e-17im
2,3,2,3,1,3,0.6180339887498939 - 1.5843448587791642e-16im
2,3,2,3,2,3,-0.9999999999999996 - 3.430777821555287e-17im
2,3,2,3,3,1,0.9999999999999983 - 1.0487672113062514e-31im
2,3,2,3,3,2,-0.6180339887498941 - 9.482436683080229e-17im
2,3,2,3,3,3,0.3002831060007766 + 5.637419743505202e-17im
2,3,3,1,1,1,1.0 - 2.465190328815661e-32im
2,3,3,1,2,2,1.0000000000000004 - 6.861555643110575e-17im
2,3,3,1,3,3,-0.9999999999999997 + 3.430777821555287e-17im
2,3,3,2,1,2,1.0 - 1.2325951644078301e-32im
2,3,3,2,2,1,0.6180339887498952 - 8.481349206281961e-17im
2,3,3,2,2,3,0.7861513777574228 - 5.394221422390598e-17im
2,3,3,2,3,1,-0.7861513777574232 + 8.091332133585902e-17im
2,3,3,2,3,3,0.6180339887498938 - 1.5843448587791682e-16im
2,3,3,3,1,3,0.9999999999999999 + 2.4651903288156597e-32im
2,3,3,3,2,1,0.7861513777574238 - 1.0788442844781208e-16im
2,3,3,3,2,3,-0.6180339887498938 + 1.7963785889362119e-16im
2,3,3,3,3,1,0.6180339887498941 + 7.362099381509694e-17im
2,3,3,3,3,2,-1.0 + 3.430777821555288e-17im
