irrep,M1,Y,N2,N1,M2,row,n,m,col,val
4,3,4,4,4,4,1,1,1,1,0.42362011899814556 + 0.46004128547336787im
4,3,4,4,4,4,1,1,1,2,0.2656049600063903 - 0.7337315692131621im
4,3,4,4,4,4,1,2,1,1,0.26560496000639056 + 0.7337315692131626im
4,3,4,4,4,4,1,2,1,2,-0.4236201189981459 + 0.4600412854733681im
4,4,1,1,1,4,1,1,1,1,1.0 + 0.0im
4,4,1,2,2,4,1,1,1,1,0.9999999999999999 + 0.0im
4,4,1,3,3,4,1,1,1,1,0.9999999999999997 + 0.0im
4,4,1,4,4,4,1,1,1,1,0.9999999999999996 + 0.0im
4,4,1,4,4,4,1,1,1,2,-1.6653345369377348e-16 + 0.0im
4,4,1,4,4,4,2,1,1,1,-1.6653345369377348e-16 + 0.0im
4,4,1,4,4,4,2,1,1,2,0.9999999999999994 + 0.0im
4,4,2,1,3,4,1,1,1,1,0.9999999999999997 + 0.0im
4,4,2,2,1,4,1,1,1,1,0.9999999999999997 + 0.0im
4,4,2,3,2,4,1,1,1,1,-0.9999999999999996 + 0.0im
4,4,2,4,4,4,1,1,1,1,-0.4999999999999995 - 0.7795309763851533im
4,4,2,4,4,4,1,1,1,2,5.551115123125783e-17 + 0.3772684148666679im
4,4,2,4,4,4,2,1,1,1,5.551115123125783e-17 + 0.3772684148666678im
4,4,2,4,4,4,2,1,1,2,-0.49999999999999944 + 0.7795309763851531im
4,4,3,1,2,4,1,1,1,1,0.9999999999999999 + 0.0im
4,4,3,2,3,4,1,1,1,1,-0.9999999999999997 + 0.0im
4,4,3,3,1,4,1,1,1,1,0.9999999999999997 + 0.0im
4,4,3,4,4,4,1,1,1,1,-0.4999999999999997 + 0.7795309763851535im
4,4,3,4,4,4,1,1,1,2,5.551115123125783e-17 - 0.37726841486666784im
4,4,3,4,4,4,2,1,1,1,1.1102230246251565e-16 - 0.37726841486666784im
4,4,3,4,4,4,2,1,1,2,-0.49999999999999967 - 0.7795309763851532im
4,4,4,1,4,4,1,1,1,1,-0.4891543794754417 + 0.0im
4,4,4,1,4,4,1,1,2,1,-0.30669419031557893 + 0.0im
4,4,4,1,4,4,2,1,1,1,-0.3066941903155787 + 0.0im
4,4,4,1,4,4,2,1,2,1,0.48915437947544194 + 0.0im
4,4,4,2,4,4,1,1,1,1,-0.26560496000639056 + 0.24457718973772083im
4,4,4,2,4,4,1,1,2,1,-0.42362011899814594 + 0.15334709515778946im
4,4,4,2,4,4,2,1,1,1,0.4236201189981459 + 0.15334709515778933im
4,4,4,2,4,4,2,1,2,1,-0.26560496000639056 - 0.24457718973772097im
4,4,4,3,4,4,1,1,1,1,-0.2656049600063905 - 0.2445771897377208im
4,4,4,3,4,4,1,1,2,1,-0.4236201189981459 - 0.15334709515778944im
4,4,4,3,4,4,2,1,1,1,0.4236201189981458 - 0.15334709515778933im
4,4,4,3,4,4,2,1,2,1,-0.2656049600063905 + 0.24457718973772088im
4,4,4,4,1,1,1,1,1,1,0.5773502691896256 + 0.0im
4,4,4,4,1,2,1,1,1,1,0.0 - 0.5773502691896255im
4,4,4,4,1,3,1,1,1,1,0.0 + 0.5773502691896255im
4,4,4,4,1,4,1,1,1,1,-0.8472402379962917 + 0.0im
4,4,4,4,1,4,1,1,1,2,-0.5312099200127809 + 0.0im
4,4,4,4,1,4,1,1,2,1,0.5312099200127813 + 0.0im
4,4,4,4,1,4,1,1,2,2,-0.847240237996292 + 0.0im
4,4,4,4,2,1,1,1,1,1,0.5773502691896253 + 0.0im
4,4,4,4,2,2,1,1,1,1,0.0 - 0.5773502691896252im
4,4,4,4,2,3,1,1,1,1,0.0 + 0.5773502691896253im
4,4,4,4,2,4,1,1,1,1,0.4236201189981458 - 0.4600412854733679im
4,4,4,4,2,4,1,1,1,2,0.2656049600063904 + 0.7337315692131622im
4,4,4,4,2,4,1,1,2,1,-0.26560496000639056 + 0.7337315692131623im
4,4,4,4,2,4,1,1,2,2,0.4236201189981459 + 0.4600412854733679im
4,4,4,4,3,1,1,1,1,1,0.5773502691896255 + 0.0im
4,4,4,4,3,2,1,1,1,1,0.0 - 0.5773502691896253im
4,4,4,4,3,3,1,1,1,1,0.0 + 0.5773502691896255im
4,4,4,4,3,4,1,1,1,1,0.4236201189981458 + 0.4600412854733679im
4,4,4,4,3,4,1,1,1,2,0.2656049600063904 - 0.7337315692131622im
4,4,4,4,3,4,1,1,2,1,-0.26560496000639056 - 0.7337315692131623im
4,4,4,4,3,4,1,1,2,2,0.4236201189981459 - 0.4600412854733679im
4,4,4,4,4,1,1,1,1,1,-0.48915437947544127 + 0.0im
4,4,4,4,4,1,1,2,1,1,0.3066941903155789 + 0.0im
4,4,4,4,4,1,2,1,1,1,-0.3066941903155784 + 0.0im
4,4,4,4,4,1,2,2,1,1,-0.4891543794754418 + 0.0im
4,4,4,4,4,2,1,1,1,1,0.26560496000639033 - 0.2445771897377206im
4,4,4,4,4,2,1,2,1,1,-0.4236201189981459 + 0.15334709515778935im
4,4,4,4,4,2,2,1,1,1,-0.4236201189981455 - 0.1533470951577892im
4,4,4,4,4,2,2,2,1,1,-0.2656049600063905 - 0.2445771897377208im
4,4,4,4,4,3,1,1,1,1,0.2656049600063904 + 0.24457718973772063im
4,4,4,4,4,3,1,2,1,1,-0.4236201189981459 - 0.15334709515778944im
4,4,4,4,4,3,2,1,1,1,-0.42362011899814556 + 0.1533470951577892im
4,4,4,4,4,3,2,2,1,1,-0.2656049600063905 + 0.2445771897377209im
4,4,4,4,4,4,1,1,1,1,0.21781602088001384 + 0.0im
4,4,4,4,4,4,1,1,1,2,0.45006241905761957 + 0.0im
4,4,4,4,4,4,1,1,2,2,-0.49999999999999917 + 0.0im
4,4,4,4,4,4,1,2,1,2,0.4999999999999994 + 0.0im
4,4,4,4,4,4,1,2,2,1,-0.217816020880014 + 0.0im
4,4,4,4,4,4,1,2,2,2,-0.45006241905762 + 0.0im
4,4,4,4,4,4,2,1,1,1,0.45006241905761957 - 0.0im
4,4,4,4,4,4,2,1,1,2,-0.21781602088001387 + 0.0im
4,4,4,4,4,4,2,1,2,1,0.49999999999999917 - 0.0im
4,4,4,4,4,4,2,2,1,1,-0.4999999999999994 + 0.0im
4,4,4,4,4,4,2,2,2,1,-0.45006241905762 + 0.0im
4,4,4,4,4,4,2,2,2,2,0.21781602088001412 + 0.0im
