i,j,k,a,b,c,val
2,4,4,3,2,3,0.0 - 1.0606601717798199im
2,4,4,3,3,2,-0.6123724356957929 - 0.0im
2,4,4,3,4,2,0.612372435695794 + 0.0im
2,4,4,3,5,1,0.0 - 1.0606601717798199im
2,4,4,3,5,3,0.612372435695794 + 0.0im
2,4,4,3,6,2,-0.0 + 1.0606601717798199im
2,4,4,3,7,1,-0.0 - 0.8660254037844373im
2,4,4,3,7,3,0.4999999999999995 + 0.0im
2,4,4,3,8,3,1.0 + 0.0im
2,4,4,3,9,1,0.0 + 0.8660254037844383im
2,4,4,3,9,3,0.4999999999999995 + 0.0im
3,1,1,1,1,1,1.0 + 0.0im
3,1,2,1,1,1,1.0 + 0.0im
3,1,3,1,1,1,1.0 + 0.0im
3,1,4,1,1,1,0.5 + 0.0im
3,1,4,1,1,3,-0.0 - 0.8660254037844382im
3,1,4,1,2,2,-1.0 + 0.0im
3,1,4,1,3,1,-0.0 - 0.8660254037844382im
3,1,4,1,3,3,0.5 + 0.0im
3,2,1,1,1,1,1.0 + 0.0im
3,2,2,1,1,1,1.0 + 0.0im
3,2,3,1,1,1,1.0 + 0.0im
3,2,4,1,1,1,-0.5 - 0.0im
3,2,4,1,1,3,0.0 - 0.8660254037844392im
3,2,4,1,2,2,1.0 + 0.0im
3,2,4,1,3,1,0.0 - 0.8660254037844392im
3,2,4,1,3,3,-0.5 - 0.0im
3,3,1,1,1,1,1.0 + 0.0im
3,3,2,1,1,1,1.0 + 0.0im
3,3,3,1,1,1,1.0 + 0.0im
3,3,4,1,1,1,1.0 + 0.0im
3,3,4,1,2,2,1.0 + 0.0im
3,3,4,1,3,3,1.0 + 0.0im
3,4,1,1,1,1,-0.0 + 1.4999999999999998im
3,4,1,1,3,1,0.8660254037844388 + 0.0im
3,4,1,2,2,1,1.7320508075688776 + 0.0im
3,4,1,3,1,1,0.8660254037844388 + 0.0im
3,4,1,3,3,1,-0.0 + 1.4999999999999998im
3,4,2,1,1,1,1.4999999999999998 + 0.0im
3,4,2,1,3,1,0.0 + 0.8660254037844388im
3,4,2,2,2,1,0.0 + 1.7320508075688776im
3,4,2,3,1,1,0.0 + 0.8660254037844388im
3,4,2,3,3,1,1.4999999999999998 + 0.0im
3,4,3,1,3,1,-0.0 + 1.7320508075688776im
3,4,3,2,2,1,0.0 - 1.7320508075688776im
3,4,3,3,1,1,-0.0 + 1.7320508075688776im
3,4,4,1,1,2,0.612372435695794 + 0.0im
3,4,4,1,2,1,0.0 - 1.0606601717798199im
3,4,4,1,2,3,-0.612372435695794 - 0.0im
3,4,4,1,3,2,0.0 - 1.0606601717798199im
3,4,4,1,4,2,0.0 + 1.0606601717798199im
3,4,4,1,5,1,-0.612372435695794 - 0.0im
3,4,4,1,5,3,0.0 - 1.0606601717798199im
3,4,4,1,6,2,-0.612372435695794 - 0.0im
3,4,4,1,7,1,0.4999999999999995 + 0.0im
3,4,4,1,7,3,-0.0 - 0.8660254037844373im
3,4,4,1,8,1,1.0 + 0.0im
3,4,4,1,9,1,0.5 + 0.0im
3,4,4,1,9,3,0.0 + 0.8660254037844392im
3,4,4,2,1,1,0.0 + 1.0606601717798199im
3,4,4,2,1,3,-0.612372435695794 - 0.0im
3,4,4,2,3,1,0.612372435695794 + 0.0im
3,4,4,2,3,3,0.0 - 1.0606601717798199im
3,4,4,2,4,1,0.612372435695794 + 0.0im
3,4,4,2,4,3,0.0 - 1.0606601717798199im
3,4,4,2,6,1,0.0 + 1.0606601717798199im
3,4,4,2,6,3,-0.612372435695794 - 0.0im
3,4,4,2,7,2,-0.999999999999999 + 0.0im
3,4,4,2,8,2,1.0 + 0.0im
3,4,4,2,9,2,-1.0 + 0.0im
3,4,4,3,1,2,0.0 + 1.0606601717798199im
3,4,4,3,2,1,0.612372435695794 + 0.0im
3,4,4,3,2,3,0.0 + 1.0606601717798199im
3,4,4,3,3,2,-0.612372435695794 - 0.0im
3,4,4,3,4,2,0.612372435695794 + 0.0im
3,4,4,3,5,1,0.0 + 1.0606601717798199im
3,4,4,3,5,3,0.612372435695794 + 0.0im
3,4,4,3,6,2,0.0 - 1.0606601717798199im
3,4,4,3,7,1,-0.0 - 0.8660254037844373im
3,4,4,3,7,3,0.4999999999999995 + 0.0im
3,4,4,3,8,3,1.0 + 0.0im
3,4,4,3,9,1,0.0 + 0.8660254037844392im
3,4,4,3,9,3,0.5 + 0.0im
4,1,1,1,1,1,1.0 + 0.0im
4,1,1,2,1,2,1.0 + 0.0im
4,1,1,3,1,3,1.0 + 0.0im
4,1,2,1,1,1,-0.0 + 0.5im
4,1,2,1,1,3,0.8660254037844382 + 0.0im
4,1,2,2,1,2,0.0 - 1.0im
4,1,2,3,1,1,0.8660254037844382 + 0.0im
4,1,2,3,1,3,-0.0 + 0.5im
4,1,3,1,1,1,0.0 - 0.5im
4,1,3,1,1,3,0.8660254037844392 + 0.0im
4,1,3,2,1,2,0.0 + 1.0im
4,1,3,3,1,1,0.8660254037844392 + 0.0im
4,1,3,3,1,3,0.0 - 0.5im
4,1,4,1,1,2,-0.707106781186546 + 0.0im
4,1,4,1,1,7,-0.0 + 0.49999999999999944im
4,1,4,1,1,9,0.0 - 0.49999999999999944im
4,1,4,1,2,3,0.707106781186546 + 0.0im
4,1,4,1,2,4,-0.7071067811865474 - 0.0im
4,1,4,1,3,5,-0.7071067811865474 - 0.0im
4,1,4,1,3,7,0.28867513459481264 + 0.0im
4,1,4,1,3,8,0.5773502691896253 + 0.0im
4,1,4,1,3,9,0.28867513459481264 + 0.0im
4,1,4,2,1,3,0.707106781186546 + 0.0im
4,1,4,2,1,4,0.7071067811865474 + 0.0im
4,1,4,2,2,7,0.5773502691896253 + 0.0im
4,1,4,2,2,8,-0.5773502691896253 + 0.0im
4,1,4,2,2,9,0.5773502691896253 + 0.0im
4,1,4,2,3,1,-0.707106781186546 + 0.0im
4,1,4,2,3,6,-0.7071067811865474 - 0.0im
4,1,4,3,1,5,0.7071067811865474 + 0.0im
4,1,4,3,1,7,0.28867513459481264 + 0.0im
4,1,4,3,1,8,0.5773502691896253 + 0.0im
4,1,4,3,1,9,0.28867513459481264 + 0.0im
4,1,4,3,2,1,-0.707106781186546 + 0.0im
4,1,4,3,2,6,0.7071067811865474 + 0.0im
4,1,4,3,3,2,0.707106781186546 + 0.0im
4,1,4,3,3,7,-0.0 + 0.49999999999999944im
4,1,4,3,3,9,0.0 - 0.49999999999999944im
4,2,1,1,1,1,0.0 - 0.5im
4,2,1,1,1,3,0.8660254037844392 + 0.0im
4,2,1,2,1,2,0.0 + 1.0im
4,2,1,3,1,1,0.8660254037844392 + 0.0im
4,2,1,3,1,3,0.0 - 0.5im
4,2,2,1,1,1,1.0 + 0.0im
4,2,2,2,1,2,1.0 + 0.0im
4,2,2,3,1,3,1.0 + 0.0im
4,2,3,1,1,1,0.5 + 0.0im
4,2,3,1,1,3,-0.0 - 0.8660254037844382im
4,2,3,2,1,2,-1.0 + 0.0im
4,2,3,3,1,1,-0.0 - 0.8660254037844382im
4,2,3,3,1,3,0.5 + 0.0im
4,2,4,1,1,2,0.0 - 0.3535533905932737im
4,2,4,1,1,5,0.612372435695794 + 0.0im
4,2,4,1,1,7,0.49999999999999944 + 0.0im
4,2,4,1,1,9,-0.49999999999999944 - 0.0im
4,2,4,1,2,1,0.612372435695794 + 0.0im
4,2,4,1,2,3,-0.0 + 0.3535533905932737im
